membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-06-2565-01A-01R-0789-01	3	3	5	4	5	4
TCGA-06-2566-01A-01R-0789-01	3	3	4	4	4	7
TCGA-06-2567-01A-01R-0789-01	1	4	4	6	4	5
TCGA-06-2569-01A-01R-0789-01	2	2	1	1	1	1
TCGA-06-2570-01A-01R-0789-01	2	4	2	2	2	2
TCGA-06-5414-01A-01R-1482-01	3	3	5	3	5	4
TCGA-06-5415-01A-01R-1482-01	3	3	5	4	4	4
TCGA-06-5416-01A-01R-1482-01	2	2	2	2	6	6
TCGA-06-5417-01A-01R-1482-01	2	4	2	2	2	2
TCGA-06-5418-01A-01R-1482-01	3	3	3	3	3	3
TCGA-08-0244-01A-01R-0298-01	3	3	5	4	5	7
TCGA-08-0245-01A-01R-0298-01	2	2	2	2	6	2
TCGA-08-0246-01A-01R-0298-01	3	3	5	4	5	5
TCGA-08-0344-01A-01R-0298-01	2	2	2	2	2	2
TCGA-08-0345-01A-01R-0306-01	1	4	3	5	3	2
TCGA-08-0346-01A-01R-0298-01	1	1	3	3	3	3
TCGA-08-0347-01A-01R-0298-01	2	4	2	2	2	2
TCGA-08-0348-01A-01R-0298-01	2	4	2	2	2	2
TCGA-08-0349-01A-01R-0306-01	2	4	4	6	4	5
TCGA-08-0350-01A-01R-0298-01	2	4	2	2	2	2
TCGA-08-0351-01A-01R-0298-01	2	4	4	2	2	7
TCGA-08-0352-01A-01R-0306-01	1	1	3	3	3	3
TCGA-08-0353-01A-01R-0298-01	3	2	5	2	6	2
TCGA-08-0354-01A-01R-0298-01	3	3	5	4	5	3
TCGA-08-0355-01A-01R-0298-01	3	3	4	4	4	5
TCGA-08-0356-01A-01R-0298-01	3	3	5	3	5	4
TCGA-08-0357-01A-01R-0298-01	3	3	5	4	5	4
TCGA-08-0358-01A-01R-0306-01	3	3	5	4	5	4
TCGA-08-0359-01A-01R-0298-01	2	4	2	2	2	2
TCGA-08-0360-01A-01R-0298-01	1	1	3	5	3	3
TCGA-08-0373-01A-01R-0306-01	1	1	3	3	3	3
TCGA-08-0375-01A-01R-0298-01	3	3	5	4	5	4
TCGA-08-0380-01A-01R-0298-01	1	4	4	6	4	5
TCGA-08-0385-01A-01R-0298-01	2	4	2	2	2	2
TCGA-08-0386-01A-01R-0306-01	2	3	4	4	4	5
TCGA-08-0389-01A-01R-0298-01	2	4	4	6	4	5
TCGA-08-0390-01A-01R-0298-01	1	1	3	5	7	7
TCGA-08-0392-01A-01R-0298-01	1	1	1	1	1	1
TCGA-08-0509-01A-01R-0280-01	1	1	3	5	3	8
TCGA-08-0510-01A-01R-0280-01	1	3	3	3	5	4
TCGA-08-0511-01A-01R-0280-01	3	3	5	4	5	4
TCGA-08-0512-01A-01R-0280-01	1	1	3	3	3	1
TCGA-08-0514-01A-01R-0280-01	3	3	5	3	5	4
TCGA-08-0516-01A-01R-0280-01	3	3	4	4	4	5
TCGA-08-0517-01A-01R-0280-01	2	2	2	2	2	2
TCGA-08-0518-01A-01R-0280-01	3	3	5	4	5	4
TCGA-08-0520-01A-01R-0280-01	3	4	4	4	4	5
