Country	Population	Birth Rate	Death Rate		GDP	GDP per capita	Imports	Exports	Inflation Rate
Ghana	23832495	28.58	9.24	5275000000	34520000000	1500	10260000000	5275000000	2.7
Gibraltar	28034	10.67	9.56	271000000	1066000000	38200	2967000000	271000000	16.5
Greece	10737428	9.45	10.51	29140000000	343800000000	32100	93910000000	29140000000	2.9
Greenland	57600	14.76	8.14	480000000	1100000000	20000	712000000	480000000	4.1
Grenada	90739	21.32	6.09	38000000	1190000000	13200	343000000	38000000	1
Guatemala	13276517	27.98	5.11	7848000000	68750000000	5300	13420000000	7848000000	3.7
Guernsey	65870	8.46	10.16	NaN	2742000000	44600	NaN	NaN	11.4
Guinea	10057975	37.52	11	1392000000	10620000000	1100	1389000000	1392000000	3.4
Guinea-Bissau	1533964	35.97	15.79	133000000	896500000	600	200000000	133000000	15
Guyana	772298	17.56	8.31	797000000	2973000000	3900	1294000000	797000000	3.8
Haiti	9035536	29.1	8.65	490000000	11530000000	1300	2107000000	490000000	8.3
Honduras	7792854	26.27	5.41	6046000000	33800000000	4400	10390000000	6046000000	15.5
Hong Kong	7055071	7.42	6.76	365200000000	307300000000	43800	388400000000	365200000000	11.4
Hungary	9905596	9.51	12.94	106600000000	196700000000	19800	106500000000	106600000000	4.3
Iceland	306694	13.43	6.85	5399000000	12870000000	42300	5699000000	5399000000	6.1
India	1166079217	21.76	6.23	187900000000	3304000000000	2900	315100000000	187900000000	12.7
Indonesia	240271522	18.84	6.25	139300000000	916700000000	3900	116000000000	139300000000	8.3
Iran	66429284	17.17	5.72	98420000000	843700000000	12800	67250000000	98420000000	9.9
Iraq	28945657	30.1	5.03	58810000000	90230000000	3200	37220000000	58810000000	25.6
Ireland	4203200	14.23	7.75	119800000000	189000000000	45500	84820000000	119800000000	2.8
Isle of Man	76512	10.77	10.76	NaN	2719000000	35000	NaN	NaN	4.1
Israel	7233701	19.77	5.43	57160000000	203400000000	28600	64400000000	57160000000	3.1
Italy	58126212	8.18	10.72	546900000000	1827000000000	31400	546900000000	546900000000	4.6
Jamaica	2825928	19.68	6.43	2602000000	24040000000	8600	7185000000	2602000000	3.4
Japan	127078679	7.64	9.54	746500000000	4340000000000	34100	708300000000	746500000000	22
Jersey	91626	8.63	9.26	NaN	5100000000	57000	NaN	NaN	1.4
Jordan	6342948	19.55	2.75	7782000000	31680000000	5200	14990000000	7782000000	3.7
Kazakhstan	15399437	16.6	9.39	71970000000	176200000000	11500	38450000000	71970000000	14.9
