Identifier 	HCC_06	NNL_05	NNL_02	NNL_03	NNL_01	NNL_04	HCC_10	HCC_14	SK_TC_1	SK_TC_2	SK_SC_1	SK_SC_2	HUH7_TC_1	HUH7_TC_2	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	H3B_TC_1	H3B_TC_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_Ortho_1	H3B_Ortho_2	
NM_001657	3.58	0.62	1.18	1.8	1.73	0.7	0.55	1.06	0.85	1.37	0.7	0.28	40.04	5.71	0.22	0.23	0.53	0.56	23.9	63.65	8.43	62.36	62.8	48.79	43.25	
NM_001873	7.23	3.15	1.41	0.73	1.34	2.83	1.76	1.05	0.89	1.85	0.75	0.64	4.58	7.63	0.81	1.34	1.08	2.2	6.75	18.99	22.55	52.98	67.44	41.29	40.75	
NM_001470	13.38	52.73	1.64	1.6	3.49	4.81	240.37	3.23	0.99	1.26	0.43	0.61	111.21	27.41	2.24	2.37	3.35	1.76	72.36	9.24	44.95	18.95	8.69	28.77	30.11	
NM_004591	3.21	20.39	1.58	1.03	0.63	1.08	41.45	2.99	1.32	1.72	0.34	0.29	1142.74	348.28	53.35	52.86	61.44	96.21	97.55	172.87	13.86	178.35	167.38	62.0	99.89	
NM_014501	5.21	3.32	1.24	0.42	2.26	2.0	5.48	7.57	46.42	29.93	26.46	27.39	91.65	179.03	30.56	44.42	77.67	64.97	40.2	45.95	23.04	19.7	28.4	29.65	22.96	
NM_006001	2.46	5.28	2.0	1.86	3.33	2.1	7.36	1.39	25.44	21.92	26.69	33.92	98.89	125.8	18.66	32.43	51.47	51.96	17.31	16.98	18.15	24.11	22.36	17.01	14.36	
NM_001168	1.42	0.77	0.68	0.37	0.85	0.52	13.99	0.47	7.94	7.16	14.4	15.71	69.9	84.68	18.32	24.18	46.72	46.72	54.89	38.15	28.09	30.34	26.91	38.61	21.95	
NM_012112	1.27	2.16	0.56	0.87	0.69	1.05	4.44	1.09	8.24	4.02	9.69	11.24	89.86	85.82	18.94	21.06	52.05	38.71	61.83	31.44	20.66	26.85	30.58	19.2	15.84	
NM_001786	1.47	2.11	1.47	1.43	0.85	1.49	9.35	0.78	13.1	7.39	18.99	14.87	191.35	173.1	37.06	46.51	73.16	63.35	55.51	79.28	37.83	37.17	48.9	48.58	14.67	
NM_007019	1.09	1.73	0.27	0.87	1.4	0.46	3.89	1.1	18.41	8.29	18.16	17.09	151.47	173.62	44.37	39.55	76.95	72.51	69.04	75.55	41.87	59.6	57.65	60.34	33.59	
NM_001034	1.86	0.48	1.99	1.29	1.22	0.98	5.23	1.28	18.58	8.82	19.93	25.84	81.67	77.64	13.48	15.88	27.09	30.0	33.12	36.79	16.27	11.59	26.2	13.23	6.1	
NM_031966	1.38	0.42	1.81	1.14	0.64	1.01	8.17	1.47	9.14	9.56	16.16	12.3	76.31	71.78	15.99	17.8	39.91	29.3	40.58	37.91	22.75	26.35	32.81	32.95	18.53	
NM_013402	2.68	1.0	1.16	6.95	1.06	0.93	9.22	1.78	28.1	11.43	7.28	8.25	32.4	60.11	9.28	10.97	15.55	13.82	33.88	47.09	11.76	23.13	26.14	31.92	23.69	
NM_001673	1.96	2.27	1.73	1.29	1.03	1.11	4.56	1.26	16.44	22.78	8.76	11.44	28.83	26.37	22.01	20.15	16.51	20.9	44.2	81.32	27.27	14.69	37.15	15.03	20.72	
NM_012145	3.31	3.07	2.05	3.42	1.1	4.13	8.65	6.94	11.06	14.12	11.84	14.3	65.96	51.96	11.15	15.44	26.75	25.03	42.13	35.83	19.44	22.55	22.27	32.13	15.28	
