ANALYSENR	LAND	FUNDORT	FUNDPLATZ	MUSEUM	KULTUR	OBJEKT
229	D	Niederscheyern, Kr.Pfaffenhofen	Depot	München, Stslg. H.V. 50-69		Spangenbarren
230	D	Niederscheyern, Kr.Pfaffenhofen	Depot	München, Stslg. H.V. 50-69		Spangenbarren
231	D	Nürtingen-Hardt, Kr. Esslingen	Ulrichshöhle, Einzf.	Stuttgart, WLM		Randleistenbeil, Typ Langquaid II, Var. M
232	D	Nürtingen-Hardt, Kr. Esslingen	Ulrichshöhle, Einzf.	Stuttgart, WLM		Randleistenbeil, Typ Langquaid II, Var. M
233	D	Nürtingen-Hardt, Kr. Esslingen	Ulrichshöhle, Einzf.	Stuttgart, WLM		Randleistenbeil, Typ Langquaid II, Var. M
234	D	Nussdorf, Kr.Rosenheim	?	München, Stslg. 97/295		Dolch mit 4 Nieten
235	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5g		Gußbrocken
236	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5a		Absatzbeil
237	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5b		Absatzbeil
238	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5c		Absatzbeil
239	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5d		Gußbrocken
240	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5e		Gußbrocken
241	D	Oberwilflingen, Ostalbkreis	Depot	Stuttgart, WLM 50/5f		Gußbrocken
242	D	Oldesloe, Kr.Stormarn	Einzf. bei Poggensee	Privbes.		Knaufhammeraxt
243	D	Ostrach, Kr. Sigmaringen	Angebl. aus Grabhügel	Sigmaringen 1227		Rollennadel m. ellipt. Kopfplatte
244	D	Wallersdorf, Gem. Otzing, Kr. Deggendorf	Grab oder aus Gräbern	München, Stslg. 1905, 247		Ringkopfnadel
245	D	Wallersdorf, Gem. Otzing, Kr. Deggendorf	Grab, Fdst. 1	München, Stslg. 1905, 240		Dolch, 4 Niete, Seitenrillen
246	D	Wallersdorf, Gem. Otzing, Kr. Deggendorf	Grab, Fdst. 1	München, Stslg. 1905, 241		Ösenhalsring
247	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	München, Stslg. 1935 a+b;1936;1937		Ösenringbarren, groß
248	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	München, Stslg. 1935 a+b;1936;1937		Ösenringbarren, groß
249	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	München, Stslg. 1935 a+b;1936;1937		Ösenringbarren, groß
250	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	München, Stslg. 1935 a+b;1936;1937		Ösenringbarren, groß
251	D	Ravensburg	Depot	Stuttgart, WLM 7274b		Spirale
252	D	Ravensburg	Depot	Stuttgart, WLM 7274b		Randleistenbeil, Typ Salez (3 An.)
253	D	Ravensburg	Depot	Stuttgart, WLM 7274b		Randleistenbeil, Typ Salez (3 An.)
254	D	Ravensburg	Depot	Stuttgart, WLM 7274b		Randleistenbeil, Typ Salez (3 An.)
255	D	Reusten, Kr.Tübingen	Siedl.	Slg. Tübingen		Pfriem
256	D	Reut, Kr.Laufen	Depot	München, Stslg. H.V.43		Ösenringbarren
257	D	Reut, Kr.Laufen	Depot	München, Stslg. H.V.38		Ösenringbarren
258	D	Reut, Kr.Laufen	Depot	München, Stslg. H.V.44		Ösenringbarren
259	D	Reut, Kr.Laufen	Depot	München, Stslg. H.V.37		Ösenringbarren
260	D	Reut, Kr.Laufen	Depot	München, Stslg. H.V.42		Ösenringbarren
