ncbi-gi:10697010	hsa:219409
ncbi-gi:10716136	hsa:57105
ncbi-gi:10716139	hsa:10846
ncbi-gi:10716516	hsa:1071
ncbi-gi:10716530	hsa:3107
ncbi-gi:10716548	hsa:921
ncbi-gi:10716828	hsa:10663
ncbi-gi:10719669	hsa:4276
ncbi-gi:10719671	hsa:4276
ncbi-gi:10719677	hsa:4276
ncbi-gi:10719679	hsa:4276
ncbi-gi:1072013	hsa:2692
ncbi-gi:1072014	hsa:2692
ncbi-gi:1072015	hsa:2692
ncbi-gi:1072037	hsa:2323
ncbi-gi:1072038	hsa:2323
ncbi-gi:10732863	hsa:57119
ncbi-gi:107596868	hsa:9456
ncbi-gi:10764126	hsa:4656
ncbi-gi:10764130	hsa:53918
ncbi-gi:10764169	hsa:3126
ncbi-gi:10764829	hsa:3126
ncbi-gi:10764847	hsa:4713
ncbi-gi:10765093	hsa:284366
ncbi-gi:107770487	hsa:6007
ncbi-gi:107784937	hsa:4535
ncbi-gi:107784938	hsa:4536
ncbi-gi:107784939	hsa:4512
ncbi-gi:107784940	hsa:4513
ncbi-gi:107784941	hsa:4509
ncbi-gi:107784945	hsa:4539
ncbi-gi:107784946	hsa:4538
ncbi-gi:107784948	hsa:4541
ncbi-gi:107784949	hsa:4519
ncbi-gi:107785151	hsa:4535
ncbi-gi:107785152	hsa:4536
ncbi-gi:107785153	hsa:4512
ncbi-gi:107785154	hsa:4513
ncbi-gi:107785155	hsa:4509
ncbi-gi:107785157	hsa:4514
ncbi-gi:107785159	hsa:4539
ncbi-gi:107785160	hsa:4538
ncbi-gi:107785162	hsa:4541
ncbi-gi:1079513	hsa:6783
ncbi-gi:1079710	hsa:4193
ncbi-gi:1079787	hsa:4292
ncbi-gi:1079805	hsa:4436
ncbi-gi:10798582	hsa:3106
ncbi-gi:10798584	hsa:3106
ncbi-gi:10798865	hsa:688
ncbi-gi:10799042	hsa:56648
ncbi-gi:10799273	hsa:10407
ncbi-gi:10799274	hsa:10407
ncbi-gi:10799275	hsa:10407
ncbi-gi:10799276	hsa:10407
ncbi-gi:10799277	hsa:10407
ncbi-gi:10799278	hsa:10407
ncbi-gi:10799279	hsa:10407
ncbi-gi:10799280	hsa:10407
ncbi-gi:10799281	hsa:10407
ncbi-gi:10799393	hsa:11202
ncbi-gi:10799394	hsa:284366
ncbi-gi:10799395	hsa:5655
ncbi-gi:10799396	hsa:11012
ncbi-gi:10799397	hsa:43849
ncbi-gi:10799398	hsa:26085
ncbi-gi:10799399	hsa:43847
ncbi-gi:10799400	hsa:27180
ncbi-gi:10799634	hsa:3106
ncbi-gi:10799636	hsa:3106
ncbi-gi:10799638	hsa:3106
ncbi-gi:10799640	hsa:3106
ncbi-gi:10799642	hsa:3115
ncbi-gi:10799646	hsa:3115
ncbi-gi:10799648	hsa:3106
ncbi-gi:10799650	hsa:3106
ncbi-gi:10799656	hsa:3106
ncbi-gi:10799658	hsa:3106
ncbi-gi:10799660	hsa:3106
ncbi-gi:10799662	hsa:3106
ncbi-gi:10799670	hsa:3106
ncbi-gi:10799672	hsa:3106
ncbi-gi:10799674	hsa:3106
ncbi-gi:10800130	hsa:3013
ncbi-gi:10800132	hsa:8969
ncbi-gi:10800138	hsa:3017
ncbi-gi:10800140	hsa:3018
ncbi-gi:10800144	hsa:8331
ncbi-gi:10800403	hsa:9784
ncbi-gi:10800412	hsa:22924
ncbi-gi:10800417	hsa:8315
ncbi-gi:10800444	hsa:6206
ncbi-gi:10800615	hsa:57477
ncbi-gi:10800860	hsa:58157
ncbi-gi:10800873	hsa:2548
ncbi-gi:10801135	hsa:3123
ncbi-gi:10801202	hsa:1823
ncbi-gi:10801203	hsa:1823
ncbi-gi:10801205	hsa:1825
ncbi-gi:10801206	hsa:1825
ncbi-gi:10801345	hsa:27335
ncbi-gi:10801583	hsa:10084
ncbi-gi:10801584	hsa:10084
