qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
126	University of Virginia		57.60	54.2	59.4	54.5	8.9	27.8	80.6	27.4	9.1	12.2	12.9	21.3
127	Newcastle University		57.60	45.1	59.4	64.6	83.2	79.2	57.2	15.9	14.4	18	10.8	12.1
128	University of Rochester		57.40	42.1		99.9	63.5	62.1	66.1	10.9	9.5	13.3	16	17.6
129	Yonsei University		57.30	72.4	37.5	83.6	14	36.9	21	29.9	16.5	18.6	18.2	25.8
130	University of Otago		57.20	63.2	55.9	30.8	100	82.1	50	22.3	7.3	24.8	20.4	20.4
131	Vanderbilt University		57.20	41.8	55.9	100	12.1	32.7	57.9	15.9	6.4	16.9	11.1	16.6
132	Humboldt-Universität zu Berlin		57.10	93.2	11.5	27.1	46.3	53.6	35.9	47.7	15.5	26.1	36.5	32.6
133	Ecole Normale Supérieure de Lyon		57.00	54.6	2.4	100	48	67.1	40.5	21.4	13.5	12.2	24.2	12.2
134	University College Dublin		56.90	58.8	59.4	52.7	95.7	93.2	31.8	24.4	14.5	16.7	13.9	19.6
135	Cardiff University		56.90	56.9	55.9	55.6	76.5	68	45.4	21.4	13.8	18	12	21.3
136	University of Lausanne		56.70	46.1	9.2	60.6	92.9	76.8	78.2	17.4	8.3	17	14.6	15.2
137	Université de Montréal		56.40	64.6	9.7	35.3	73.8	87.4	67	23.4	15.3	18.8	19.8	19.9
138	Radboud University Nijmegen		56.10	37.4	25.5	84.2	58.7	37.4	79.4	16.1	6.1	15	12.2	12
139	Hokkaido University		55.90	52.4	55.9	70	6.4	17.2	65.5	12.4	17.4	14.8	23.4	12.7
140	Rheinisch-Westfälische Technische Hochschule Aachen		55.90	63.6	68.5	64.2	37.8	61.4	23.6	10.2	38	10.1	29	8.4
141	University of Aberdeen		55.70	48.4	37.9	62.7	90.8	90.1	49.5	20	9.9	16.9	14.4	14.1
142	University of Colorado at Boulder		55.30	49.5	34.1	57	22.4	10.8	90	11.8	16.2	10.1	26.2	12.5
143	University of Bern		55.00	38.3	12.4	61.2	97.5	56.8	87	13.3	6.5	12.5	17	13.3
144	Queen's University		54.90	52.5	59.4	40.9	77.7	39.3	64.2	18.1	14.3	11.2	15.1	19.2
145	Case Western Reserve University		54.80	31.1	2.5	92.7	25.1	61.8	90.8	11.4	12.1	13.5	7.6	8.5
146	Eindhoven University of Technology		54.80	46.2	18.2	99.6	98.9	37	33.5	9.2	29.2	5.5	19.7	9
147	KIT, Karlsruher Institut für Technologie		54.60	59.1	55.9	65.1	43.9	67.7	28.7	8.7	31.6	9.9	30.8	8.6
148	University of California, Irvine		54.50	65.6	6.9	26.6	8.4	20.5	98.9	24.8	18	18.1	20.8	17.1
149	Georg-August-Universität Göttingen		53.80	63.8		73	40.5	41.4	42.8	24.5	8.2	20.5	28.8	14
150	Technical University of Denmark		53.80	34.4	11.9	98.6	88.8	58.3	53.6	2.9	27.1	8.3	15.1	4
151	University of Basel		53.80	54.4	8.7	66.1	100	85	38.1	21.6	8	21	18.8	13.9
152	Eberhard Karls Universität Tübingen		53.70	55.5	15.8	58.7	60.9	50	58	29.1	6.7	18.8	17.6	12.4
153	Lancaster University		53.40	52.9	55.9	48.8	79.6	87	37.8	24.3	9.6	8	13.5	25.9
154	Rheinische Friedrich-Wilhelms-Universität Bonn		53.40	66.5	10.3	71.5	16.8	52.5	34.7	21.6	9.1	15.1	32	22.2
155	University of Vienna		53.30	81	26.5	9.3	46.2	88.6	43	35.3	13.2	20.4	30.4	25.3
156	University of Cape Town		52.90	56.7	55.9	34.2	72.2	68.6	48.5	20.8	13.6	16.6	16.4	18.8
157	The University of Western Ontario		52.60	50	55.9	22.1	59	19.3	88.4	17.6	10.3	15.9	13.5	20.3
158	Texas A&M University		52.50	65.8	36.9	23.7	19.1	30.3	71.2	9.6	27.7	19.9	24.5	17.2
159	McMaster University		52.20	57.8	15.5	19.1	42.6	49.8	90.3	14.8	17.5	23.5	16.8	15.3
160	University of Waterloo		52.00	62	55.9	18.1	80	45.8	53.3	12.2	30.6	12.8	24.6	13.2
161	University of Florida		51.60	60	23.2	35	19.3	32.5	73.4	15.9	17.3	18.1	21.2	18.4
162	University of Illinois, Chicago (UIC)		51.50	46.3	15	50.9	6	30.9	92.3	16.7	12.6	16.1	14.3	13
163	University of Arizona		51.50	60.2	4.6	36.1	27.4	23.2	81	21.2	14.7	15.1	21.1	18.9
164	Michigan State University		51.40	62	44.7	29.4	41.2	49.9	53.5	16.8	15.3	16	20.9	24.5
165	University of Ghent		51.30	58.4	24.9	62.6	21.3	26.5	47.7	19.4	14.2	19.6	19.7	15.6
166	Georgetown University		51.00	51.6	59.4	58.1	28	36.4	43.1	28.2	5.5	12.4	7.8	25.8
167	Universiti Malaya (UM)		50.90	56.3	37.9	76.4	76.8	71.3	4.6	19.4	16	18	13	19.3
168	University of Bath		50.80	48.6	59.4	37	87.5	94.8	39.5	13	15.6	12	15.2	19.8
169	Universidad Nacional Autónoma de México (UNAM)		50.70	79.4	55.9	52.6	16.1	3.8	4.5	36.5	20.5	23.1	29.5	32.1
169	Universidade de São Paulo - USP		50.70	75.1	52.8	39	11.6	6.1	28.8	29.9	22.9	25.4	28.7	28.1
171	Chulalongkorn University		50.70	82.2	55.9	43.8	17.2	3.4	7.4	30.9	21.5	23.9	22.8	27.9
172	Queen Mary, University of London (QMUL)		50.70	56.4	14.9	66.5	96.6	91	15	26.7	10.5	16	18.2	14.5
173	Tel Aviv University		50.60	59	8.2	17	30.1	9.4	99.3	18.4	15.5	14.2	21.3	20
174	Tufts University		50.60	29.1	5.5	60	100	37.7	92.6	12.4	6.1	13.4	9.8	8.9
175	Wageningen University		50.30	43	6.7	99.8	9.5	97.4	30.9	4.4	11.5	19	23.2	10.5
176	University of Barcelona		50.30	77.9	12.7	27.2	5.8	46	44.3	28.4	16.4	24.8	28.1	20.8
