Total Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Iowa State University	 224368 	81 	56 	 217158 	77 	53 	 221998 	73 	50 	 209545 	76 	52 	 211996 	74 	52 
Private	Johns Hopkins University	 1680927 	1 	1 	 1554103 	1 	1 	 1499977 	1 	1 	 1443792 	1 	1 	 1375014 	1 	1 
Public	Kansas State University	 137543 	115 	77 	 123900 	118 	80 	 123746 	114 	80 	 123398 	111 	75 	 119306 	111 	76 
Public	Louisiana State University - Baton Rouge	 272878 	63 	41 	 260924 	66 	44 	 246093 	68 	45 	 236729 	68 	46 	 222556 	69 	48 
Public	Louisiana State University Health Sciences Center	 59473 	168 	122 	 91498 	138 	98 	 79927 	141 	100 	 93595 	135 	96 	 95777 	130 	92 
Private	Massachusetts Institute of Technology	 659626 	13 	5 	 614352 	13 	5 	 600748 	12 	5 	 580742 	12 	5 	 543448 	10 	4 
Private	Medical College of Wisconsin	 165529 	100 	32 	 158171 	99 	32 	 147140 	104 	33 	 143540 	99 	32 	 139235 	99 	30 
Public	Medical University of South Carolina	 189369 	93 	63 	 184624 	94 	63 	 176055 	95 	64 	 176709 	90 	59 	 163179 	91 	62 
Public	Michigan State University	 356767 	47 	28 	 360852 	42 	25 	 358097 	40 	23 	 333735 	39 	24 	 325438 	36 	23 
Public	Mississippi State University	 210951 	82 	57 	 206207 	82 	57 	 189917 	86 	58 	 179825 	86 	57 	 191352 	81 	56 
Public	Montana State University - Bozeman	 120155 	121 	83 	 116999 	121 	83 	 112428 	124 	86 	 109465 	122 	85 	 97696 	127 	89 
Private	Mount Sinai School of Medicine	 296380 	57 	21 	 269451 	62 	22 	 273216 	59 	21 	 225293 	72 	23 	 212786 	73 	22 
Public	New Jersey Institute of Technology	 89792 	143 	102 	 88699 	140 	100 	 77583 	145 	103 	 76920 	144 	103 	 74998 	142 	102 
Public	New Mexico Institute of Mining and Technology	 79437 	152 	109 	 83742 	143 	102 	 73792 	150 	108 	 40512 	186 	133 	 38476 	185 	135 
Public	New Mexico State University - Las Cruces	 138427 	114 	76 	 148120 	104 	71 	 169029 	98 	67 	 125427 	109 	74 	 93329 	132 	94 
Private	New York University	 310699 	54 	20 	 297867 	56 	20 	 284164 	56 	20 	 276198 	54 	20 	 259333 	54 	19 
Public	North Carolina State University	 366137 	44 	27 	 331662 	50 	32 	 330936 	47 	29 	 302596 	49 	31 	 292720 	48 	32 
Public	North Dakota State University	 115513 	124 	86 	 106208 	131 	92 	 103778 	131 	92 	 103011 	128 	89 	 102115 	125 	87 
Private	Northwestern University	 483881 	30 	10 	 443345 	32 	12 	 419985 	33 	13 	 387242 	32 	13 	 358947 	32 	13 
Public	Ohio State University - Columbus	 702592 	10 	7 	 720206 	9 	7 	 652329 	11 	7 	 608923 	11 	7 	 518088 	14 	9 
Public	Oklahoma State University - Stillwater	 121226 	119 	81 	 101112 	132 	93 	 100323 	133 	94 	 99436 	131 	92 	 103915 	122 	85 
Public	Oregon Health & Science University	 301396 	55 	35 	 287430 	58 	38 	 272174 	60 	39 	 266687 	57 	37 	 254447 	57 	38 
Public	Oregon State University	 188056 	94 	64 	 189368 	90 	61 	 189606 	87 	59 	 180309 	85 	56 	 170286 	85 	57 
Public	Pennsylvania State University - Hershey Medical Ctr	 80698 	150 	107 	 69701 	157 	111 	 76633 	146 	104 	 62576 	157 	111 	 60014 	156 	113 
Public	Pennsylvania State University - University Park	 620432 	15 	10 	 582443 	16 	11 	 567549 	15 	10 	 563188 	13 	8 	 540125 	11 	7 
Private	Princeton University	 194757 	92 	30 	 188732 	91 	30 	 188165 	89 	30 	 202380 	77 	25 	 188373 	82 	26 
Public	Purdue University - West Lafayette	 429988 	35 	21 	 415172 	34 	21 	 372958 	36 	22 	 364986 	34 	21 	 365779 	31 	19 
Private	Rensselaer Polytechnic Institute	 77295 	155 	44 	 77238 	149 	43 	 70576 	153 	43 	 65571 	154 	44 	 56907 	160 	45 
Private	Rice University	 74254 	157 	45 	 69772 	156 	46 	 66564 	156 	45 	 63102 	156 	46 	 60872 	154 	43 
Private	Rockefeller University	 247505 	75 	24 	 233917 	73 	24 	 215417 	76 	24 	 198719 	80 	27 	 192222 	80 	25 
Private	Rush University	 89513 	144 	42 	 84370 	142 	41 	 83194 	140 	41 	 83693 	139 	41 	 89254 	136 	39 
Public	Rutgers the State University of NJ - New Brunswick	 297694 	56 	36 	 281186 	60 	39 	 280994 	57 	37 	 275483 	55 	35 	 263915 	52 	35 
Private	Saint Louis University - St. Louis	 56644 	176 	47 	 54265 	173 	48 	 48133 	176 	48 	 47356 	174 	49 	 41189 	181 	50 
Private	Scripps Research Institute	 366047 	45 	18 	 360511 	43 	18 	 367375 	38 	16 	 330170 	41 	17 	 307910 	45 	16 
Private	Stanford University	 688225 	11 	4 	 687511 	10 	3 	 679196 	8 	2 	 714897 	7 	2 	 671046 	8 	2 
Public	Stony Brook University	 252745 	73 	50 	 268282 	63 	41 	 234635 	72 	49 	 212289 	74 	51 	 213547 	72 	51 
Public	Temple University	 92486 	142 	101 	 85394 	141 	101 	 79736 	142 	101 	 83062 	141 	100 	 76055 	141 	101 
Public	Texas A&M University	 582365 	19 	14 	 543888 	21 	14 	 492955 	22 	15 	 479735 	23 	16 	 456809 	23 	15 
Private	Thomas Jefferson University	 99275 	138 	40 	 107288 	130 	39 	 106986 	129 	39 	 107388 	125 	39 	 112078 	115 	37 
Private	Tufts University	 139528 	113 	38 	 130826 	114 	37 	 128965 	110 	34 	 131028 	106 	35 	 126432 	106 	34 
Private	Tulane University	 153242 	103 	35 	 137107 	109 	35 	 114397 	121 	37 	 138959 	102 	33 	 132784 	103 	32 
Public	Uniformed Services University of the Health Sciences	 106179 	131 	93 	 71307 	154 	109 	 67716 	155 	111 	 78694 	143 	102 	 89999 	135 	97 
Public	University at Albany	 270414 	65 	43 	 309221 	55 	36 	 274354 	58 	38 	 259708 	60 	39 	 203977 	77 	54 
Public	University at Buffalo	 329720 	52 	33 	 314837 	53 	34 	 297909 	53 	34 	 267271 	56 	36 	 258952 	55 	36 
Public	University of Alabama - Birmingham	 404615 	38 	22 	 351457 	46 	28 	 331436 	46 	28 	 318536 	44 	26 	 310950 	44 	29 
Public	University of Alabama - Huntsville	 65396 	164 	119 	 70027 	155 	110 	 59231 	163 	117 	 54601 	165 	118 	 49259 	170 	123 
Public	University of Alaska - Fairbanks	 121067 	120 	82 	 151782 	102 	69 	 153470 	101 	69 	 139488 	101 	69 	 132212 	104 	72 
Public	University of Arizona	 545869 	23 	16 	 531753 	22 	15 	 535847 	19 	13 	 530233 	20 	13 	 478680 	19 	13 
