Endowment Assets
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	University of Georgia	 572504 	 91 	 32 	 697155 	 96 	 31 	 705316 	 97 	 32 	 518823 	 115 	 36 	 517170 	 102 	 35 
Public	University of Hawaii - Manoa	 149154 	 271 	 100 	 231321 	 236 	 90 	 231065 	 245 	 91 	 194886 	 240 	 86 	 175763 	 239 	 87 
Public	University of Houston - University Park	 441725 	 128 	 45 	 596925 	 118 	 37 	 402244 	 164 	 64 	 349587 	 157 	 59 	 323421 	 149 	 54 
Public	University of Idaho	 149190 	 270 	 99 	 176145 	 288 	 110 	 188675 	 288 	 107 	 169602 	 267 	 97 	 159920 	 255 	 93 
Public	University of Illinois - Chicago	 150156 	 267 	 98 	 188078 	 269 	 99 	 194700 	 273 	 100 	 162798 	 277 	 102 	 149177 	 276 	 101 
Public	University of Illinois - Urbana-Champaign	 858789 	 67 	 21 	 1043892 	 69 	 22 	 1100000 	 67 	 22 	864080	 69 	 22 	 791787 	 67 	 22 
Public	University of Iowa	 766262 	 72 	 23 	 935453 	 76 	 24 	 982428 	 74 	 23 	 832869 	 72 	 23 	 786100 	 68 	 23 
Public	University of Kansas - Lawrence	 750926 	 75 	 24 	 957284 	 75 	 23 	 966182 	 76 	 24 	 818506 	 74 	 24 	 744856 	 73 	 24 
Public	University of Kansas Medical Center	 204450 	 221 	 83 	 260635 	 218 	 81 	 260126 	 226 	 83 	 220367 	 219 	 78 	 200538 	 217 	 81 
Public	University of Kentucky	 696851 	 79 	 26 	 908654 	 78 	 26 	 957608 	 78 	 25 	 785196 	 77 	 25 	 576721 	 87 	 28 
Public	University of Louisville	 599712 	 90 	 31 	 783345 	 87 	 29 	 796812 	 88 	 29 	 680251 	 85 	 28 	 607636 	 84 	 27 
Public	University of Maine - Orono	 172158 	 243 	 90 	 224381 	 241 	 91 	 231227 	 244 	 90 	 187672 	 248 	 88 	 117829 	 324 	 118 
Public	University of Maryland - Baltimore	 143408 	 281 	 107 	 197044 	 260 	 95 	 197731 	 272 	 99 	 172770 	 264 	 95 	 153311 	 269 	 99 
Public	University of Maryland - Baltimore County	 43472 	 540 	 176 	 63874 	 496 	 173 	 55835 	 536 	 186 	 43465 	 539 	 178 	 32918 	 618 	 205 
Public	University of Maryland - College Park	 325439 	 158 	 63 	 448881 	 149 	 56 	 446648 	 147 	 53 	 375992 	 147 	 55 	 332483 	 145 	 51 
Public	University of Massachusetts - Amherst	 160196 	 255 	 92 	 178584 	 282 	 107 	 143589 	 333 	 123 	 106693 	 347 	 123 	 91279 	 368 	 127 
Public	University of Massachusetts Medical Sch - Worcester	 114030 	 324 	 120 	 115182 	 360 	 133 	 66541 	 490 	 170 	 49443 	 510 	 171 	 42300 	 545 	 182 
Public	University of Medicine & Dentistry of New Jersey	 41895 	 546 	 178 	 44437 	 586 	 214 							 224620 	 203 	 76 
Private	University of Miami	 538606 	 99 	 65 	 736239 	 90 	 60 	 741382 	 92 	 61 	 620435 	 93 	 61 	 523706 	 100 	 66 
Public	University of Michigan - Ann Arbor	 6000827 	 6 	 1 	 7571904 	 6 	 1 	 7089830 	 8 	 2 	 5652262 	 8 	 2 	 4931338 	 8 	 2 
Public	University of Minnesota - Twin Cities	 2073205 	 25 	 6 	 2734926 	 25 	 6 	 2804466 	 24 	 6 	 2224308 	 25 	 6 	 1968930 	 25 	 6 
Public	University of Missouri - Columbia	 440923 	 129 	 46 	 527123 	 136 	 49 	 643122 	 111 	 35 	 638181 	 91 	 31 	 573662 	 89 	 30 
Public	University of Nebraska - Lincoln	 627203 	 85 	 27 	 793865 	 85 	 28 	 830160 	 84 	 28 	 749813 	 81 	 27 	 677489 	 81 	 26 
Public	University of Nebraska Medical Center	 144739 	 279 	 106 	 183200 	 275 	 103 	 191575 	 280 	 102 	 173034 	 262 	 93 	 156344 	 262 	 96 
Public	University of Nevada - Las Vegas	 114734 	 322 	 118 	 129647 	 336 	 126 	 134324 	 344 	 125 	 121177 	 326 	 118 	 39595 	 562 	 186 
Public	University of Nevada - Reno	 185684 	 234 	 86 	 237198 	 230 	 87 	 240328 	 234 	 85 	 79796 	 399 	 138 	 66088 	 428 	 147 
Public	University of New Hampshire - Durham	 182254 	 238 	 88 	 237339 	 229 	 86 	 268245 	 223 	 81 	 211214 	 222 	 79 	 182756 	 230 	 85 
Public	University of New Mexico - Albuquerque	 279690 	 176 	 68 	 342648 	 184 	 69 	 320200 	 198 	 74 	 276141 	 194 	 73 	 245234 	 192 	 72 
Public	University of North Carolina - Chapel Hill	 1905081 	 28 	 7 	 2353191 	 28 	 7 	 2164444 	 31 	 11 	 1149222 	 52 	 16 	 1486147 	 34 	 11 
Public	University of North Dakota	 94018 	 355 	 130 	 10582 	 804 	 299 									
Private	University of Notre Dame	 4795303 	 12 	 10 	 6225688 	 12 	 9 	 5976973 	 13 	 10 	 4436624 	 16 	 13 	 3650224 	 16 	 13 
Public	University of Oklahoma - Norman	 602855 	 89 	 30 	 749107 	 89 	 30 	 792420 	 89 	 30 	 662617 	 89 	 30 	 536485 	 95 	 33 
Public	University of Oklahoma Health Sciences Center	 245042 	 202 	 77 	 304489 	 200 	 76 	 322006 	 196 	 73 	 297698 	 184 	 68 	 241029 	 195 	 74 
Public	University of Oregon	 386509 	 144 	 55 	 470515 	 146 	 54 	 455583 	 145 	 52 	 365859 	 150 	 57 	 304024 	 157 	 61 
Private	University of Pennsylvania	 5170538 	 10 	 8 	 6211622 	 13 	 10 	 6635187 	 9 	 7 	 5313268 	 9 	 7 	 4369782 	 11 	 8 
Public	University of Pittsburgh - Pittsburgh	 1837216 	 30 	 9 	 2333602 	 29 	 8 	 2254379 	 29 	 9 	 1802859 	 29 	 9 	 1529884 	 31 	 9 
Public	University of Rhode Island	 72589 	 408 	 144 	 88028 	 412 	 148 	 95069 	 404 	 141 	 79795 	 400 	 139 	 71661 	 414 	 141 
Private	University of Rochester	 1314603 	 43 	 29 	 1730772 	 40 	 27 	 1726318 	 40 	 27 	 1491275 	 37 	 25 	 1369969 	 37 	 26 
Public	University of South Carolina - Columbia	 391468 	 143 	 54 	 425150 	 155 	 60 	 438514 	 152 	 56 	 385300 	 142 	 51 	 329791 	 146 	 52 
Public	University of South Florida	 275398 	 179 	 69 	 360035 	 174 	 66 	 388516 	 168 	 66 	 329832 	 165 	 66 	 298241 	 162 	 63 
Private	University of Southern California	2671426	22	18	3589225	21	17	3715272	21	17	3065935	21	17	2746051	20	16
Public	University of Southern Mississippi	 56754 	 475 	 160 	 62319 	 505 	 178 									
Public	University of Tennessee - Knoxville	 522838 	 104 	 35 	 688768 	 97 	 32 	 742541 	 91 	 31 	 627515 	 92 	 32 	 547352 	 92 	 32 
Public	University of Texas - Austin	 5798329 	 8 	 2 	 6895038 	 9 	 2 	 7190136 	 6 	 1 	 6268407 	 6 	 1 	 5594393 	 6 	 1 
Public	University of Texas Health Science Center - Houston	 154525 	 259 	 93 	 182119 	 280 	 106 	 187444 	 289 	 108 	 157148 	 282 	 104 	 141070 	 288 	 105 
Public	University of Texas Health Science Ctr - San Antonio	 343931 	 149 	 58 	 409307 	 158 	 62 	 405177 	 161 	 62 	 346235 	 159 	 61 	 319886 	 151 	 56 
Public	University of Texas MD Anderson Cancer Center	 547314 	 96 	 33 	 630293 	 113 	 35 	 564505 	 124 	 41 	 457727 	 130 	 45 	 421936 	 127 	 44 
Public	University of Texas Medical Branch - Galveston	 394171 	 142 	 53 	 474018 	 145 	 53 	 496876 	 138 	 49 	 432172 	 134 	 47 	 397054 	 132 	 46 
Public	University of Texas SW Medical Center - Dallas	 1145445 	 47 	 16 	 1368760 	 49 	 15 	 1434560 	 49 	 15 	 1143426 	 53 	 17 	 980022 	 55 	 18 
Public	University of Utah	 513400 	 108 	 36 	 594545 	 119 	 38 	 610469 	 116 	 36 	 509095 	 117 	 37 	 458531 	 117 	 39 
Public	University of Vermont	 271536 	 183 	 71 	 329776 	 189 	 73 	 336363 	 192 	 71 	 282594 	 191 	 72 	 243633 	 193 	 73 
Public	University of Virginia	 3577266 	 18 	 4 	 4526211 	 18 	 4 	 4370209 	 19 	 4 	 3618172 	 18 	 4 	 3219098 	 18 	 4 
Public	University of Washington - Seattle	 1649159 	 32 	 11 	 2161438 	 31 	 10 	 2184374 	 30 	 10 	 1689528 	 32 	 10 	 1489924 	 33 	 10 
Public	University of Wisconsin - Madison	 1566882 	 33 	 12 	 2119513 	 32 	 11 	 1916701 	 34 	 12 	 1639015 	 33 	 11 	 1327023 	 40 	 13 
Public	US Air Force Academy															
Public	US Naval Postgraduate School	 2178 	 848 	 307 	 -   	 853 	 331 									
Public	Utah State University	 151184 	 263 	 96 	 145599 	 322 	 123 	 130544 	 349 	 127 	 110319 	 339 	 122 	 89155 	 370 	 129 
Private	Vanderbilt University	 2833614 	 20 	 16 	 3459439 	 22 	 18 	 3487500 	 22 	 18 	 2946392 	 22 	 18 	 2628437 	 22 	 18 
Public	Virginia Commonwealth University	 252903 	 194 	 75 	 330482 	 188 	 72 	 329199 	 194 	 72 	 265653 	 198 	 74 	 235279 	 199 	 75 
Public	Virginia Polytechnic Institute and State University	 451744 	 123 	 44 	 527629 	 135 	 48 	 524731 	 133 	 47 	 447405 	 132 	 46 	 408560 	 129 	 45 
Private	Wake Forest University	 886761 	 63 	 43 	 1148297 	 59 	 40 	 1248695 	 56 	 39 	 1042558 	 58 	 39 	 906803 	 57 	 39 
Public	Washington State University - Pullman	 619766 	 87 	 29 	 678553 	 100 	 33 	 650903 	 109 	 33 	 579861 	 100 	 34 	 553287 	 91 	 31 
Private	Washington University in St. Louis	 4080554 	 16 	 13 	 5350470 	 16 	 13 	 5567843 	 15 	 12 	 4684737 	 14 	 11 	 4268415 	 12 	 9 
Public	Wayne State University	 204529 	 220 	 82 	 241427 	 226 	 84 	 236659 	 237 	 88 	 202000 	 230 	 82 	 185380 	 228 	 84 
Public	West Virginia University	 315121 	 162 	 65 	 432697 	 151 	 57 	 436931 	 153 	 57 	 380785 	 146 	 54 	 327997 	 147 	 53 
Private	Woods Hole Oceanographic Institution	 264541 	 187 	 116 	 -   	 853 	 523 	 383400 	 170 	 103 				 234600 	 200 	 125 
Private	Yale University	 16327000 	 2 	 2 	 22869700 	 2 	 2 	 22530200 	 2 	 2 	 18030600 	 2 	 2 	 15224900 	 2 	 2 
Private	Yeshiva University	 979433 	 57 	 38 	 1344701 	 52 	 37 	 1409576 	 50 	 35 	 1273327 	 46 	 33 	 1148687 	 48 	 34 
