Federal Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Michigan State University	 152907 	65 	40 	 170350 	57 	34 	 169116 	60 	36 	 156461 	59 	34 	 143473 	62 	38 
Public	Mississippi State University	 105327 	96 	61 	 106662 	89 	57 	 94073 	99 	65 	 84465 	105 	67 	 82205 	102 	65 
Public	Montana State University - Bozeman	 70386 	117 	78 	 75765 	115 	76 	 75362 	111 	73 	 71604 	112 	73 	 58874 	122 	84 
Private	Mount Sinai School of Medicine	 253319 	36 	19 	 221397 	46 	22 	 224911 	41 	22 	 191326 	52 	23 	 170757 	54 	23 
Public	New Jersey Institute of Technology	 40087 	163 	116 	 41330 	157 	110 	 35489 	164 	115 	 35716 	166 	114 	 30995 	170 	120 
Public	New Mexico Institute of Mining and Technology	 64322 	127 	85 	 69050 	118 	79 	 47901 	137 	94 	 14635 	227 	163 	 13853 	221 	158 
Public	New Mexico State University - Las Cruces	 86636 	107 	70 	 100773 	95 	62 	 55801 	128 	87 	 91247 	100 	65 	 76396 	107 	69 
Private	New York University	 199363 	52 	23 	 194303 	53 	23 	 189276 	53 	23 	 191782 	51 	22 	 181441 	50 	21 
Public	North Carolina State University	 131412 	71 	44 	 131056 	70 	43 	 131262 	72 	43 	 109128 	81 	51 	 103586 	81 	52 
Public	North Dakota State University	 50038 	146 	103 	 45475 	151 	105 	 45418 	144 	101 	 46060 	142 	97 	 45375 	139 	96 
Private	Northwestern University	 264984 	34 	17 	 249411 	39 	20 	 249980 	36 	19 	 244113 	35 	18 	 230593 	34 	16 
Public	Ohio State University - Columbus	 335121 	21 	11 	 313242 	21 	11 	 315914 	21 	11 	 294053 	22 	11 	 284675 	22 	11 
Public	Oklahoma State University - Stillwater	 41051 	159 	113 	 36958 	166 	118 	 37943 	161 	113 	 36637 	160 	109 	 43345 	144 	101 
Public	Oregon Health & Science University	 232208 	43 	21 	 227441 	43 	22 	 223204 	43 	21 	 217145 	41 	21 	 206219 	42 	23 
Public	Oregon State University	 113614 	86 	54 	 110267 	85 	55 	 116586 	80 	50 	 109030 	82 	52 	 104276 	80 	51 
Public	Pennsylvania State University - Hershey Medical Ctr	 46790 	150 	105 	 39630 	161 	114 	 46957 	139 	96 	 35857 	165 	113 	 34800 	163 	114 
Public	Pennsylvania State University - University Park	 359738 	19 	10 	 331159 	20 	10 	 320258 	20 	10 	 322712 	18 	8 	 313196 	17 	8 
