Systematic Name	Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
118140	1.75	1.08	1.09
165456	1.94	1.09	2.22
219459	1.48	0.94	1.66
236036	1.45	0.96	2.14
164784	2.25	1.01	1.39
212298	0.9	0.97	1.1
134498	1.47	0.98	0.95
296119	1.33	0.87	1.25
180596	1.25	1.13	1.05
478137	0.81	0.99	0.74
163441	2.23	1.03	3.62
171134	0.99	1	0.98
117637	1.74	0.9	1.37
202399	1.44	0.95	0.96
214481	1.13	1.03	1.29
163843	2.12	1.14	2.34
115921	2.07	1.04	1.13
219661	1.86	0.95	1.67
184486	1.3	1.04	1.23
712838	1.62	0.98	1.5
130538	1.25	0.98	1.15
151391	2.63	1.09	2.47
189520	1.2	0.92	1.04
214770	1.02	0.97	2.15
209114	1.56	0.98	1.27
192835	1.16	1	1.15
105211	1.93	1	1.41
210913	0.41	1.02	1.17
106064	1.1	1.12	0.97
109808	0.9	0.96	1.19
189580	1.81	1.01	1.88
149912	1.95	0.94	0.97
184614	1.85	0.97	1.36
150776	1.26	0.86	1.24
201079	1.36	0.98	1.2
157577	1.17	0.74	0.94
121941	2.02	1.19	2
186848	0.69	0.87	0.82
113651	1.74	1.04	1.75
185942	1.37	0.9	1.29
232085	0.56	0.73	0.71
139445	0.92	0.84	1.17
177914	1.23	0.95	0.98
193721	2.17	1.1	1.88
236671	2	1.03	1.91
235925	0.8	0.98	1.14
210130	1.74	0.95	2.15
235184	1.67	1.01	1.53
112357	1.46	0.98	1.58
129530	1.74	0.95	1.22
110205	1.61	0.97	1.15
197378	1.1	0.93	1.25
159149	1.61	1.04	1.23
144569	0.08	0.83	0.31
193619	1.71	0.91	1.48
103705	0.96	0.88	0.96
134782	1.24	1.06	1.29
228912	1.14	0.91	1.48
193323	1.73	1	1.41
162174	1.61	1.1	1.6
120175	2.17	0.99	2.97
173964	1.2	1.08	1.32
210046	1.66	0.99	1.2
112415	2.18	0.99	1.27
229308	1.05	0.96	0.97
236895	2.45	1.05	1.82
186215	1.57	0.97	1.33
154419	1.42	1.14	1.95
156113	2.26	1.03	1.63
183317	1.16	0.93	0.93
155410	2.3	1.08	2.35
234676	2.19	1	3.06
162053	1.58	0.98	1
170038	0.92	0.93	0.85
182590	2.33	1.02	2.38
201456	1.95	1.03	2.1
108974	2.57	1.08	2
147592	1.25	1.05	1.38
173844	2.13	0.87	1.09
233019	1.69	0.98	1.05
167394	1.56	0.98	1.28
111573	2.03	1.02	1.82
200280	0.56	1	1.39
177491	1.34	0.99	1.19
126675	1.5	0.92	1.59
10696147	1.17	0.88	1.18
232935	1.74	0.93	2.07
211333	2.4	1.12	2.26
219323	1.2	0.92	1.31
127354	2.21	1.13	1.66
145606	2.14	1.15	1.6
236594	1.78	1.04	1.45
209377	7.29	0.85	4.55
174672	0.93	0.93	0.86
110634	1.68	1.05	1.41
114758	1.3	1	1.24
107428	1.4	0.97	1.75
106007	1.78	1.06	1.51
710945	1.4	0.97	1.31
169455	1.46	0.86	1.45
209361	1.52	0.94	1.17
191116	1.55	1.07	1.38
163944	2.02	0.93	1.44
101381	1.77	1.14	1.97
149248	0.99	1	1.07
224032	2.33	1.07	3.03
111373	1.52	0.96	1.09
174286	1.08	0.99	1.09
196373	1.62	1.12	1.59
190329	1.89	1.18	1.92
129408	2.84	0.99	1.17
190785	1.54	0.89	0.86
177207	0.89	0.91	0.9
127216	1.23	0.96	1.15
161051	2.12	1.08	1.14
137826	1.5	0.98	1.1
525620	1.99	1.02	1.51
160776	1.51	1.02	1.54
123845	1.67	1.03	1.08
203962	1.72	1.12	1.43
234411	2.13	0.95	3.71
183404	1.52	1.01	1.09
216014	0.89	0.86	1.33
162231	1.33	0.89	0.97
192792	1.51	1.04	1.35
170887	1.86	0.99	1.36
120719	3.46	1.08	1.5
194463	2.65	1.14	2.44
178237	1.71	0.95	3.01
109946	1.39	1.07	1.74
220353	3.02	1.23	2.65
165933	1.48	0.95	1.3
183675	1.35	1	1.19
155269	1.39	0.97	1.37
210591	1.61	0.92	1.09
163168	1.67	0.99	1.21
197357	1.78	1.06	1.42
169261	1.15	1.06	1.26
196095	1.05	0.99	1.13
102592	1.47	1	1.32
165073	2.36	1	2.15
122265	1.55	1.01	1.54
193402	1.51	1.09	2.24
171791	1.43	0.88	1.18
115963	1.59	1	1.5
170505	2.05	0.84	2.52
122012	1.5	1.06	1.41
119363	1.61	1.02	1.51
164871	0.92	0.96	0.95
201628	1.29	0.94	1.91
168425	1.63	0.93	2.3
122861	2.27	0.98	1.38
207482	1.7	0.96	1.95
171154	0.73	1	0.92
159268	1.56	1.03	1.65
181098	1.13	1.22	1.73
145132	2.14	1.02	1.65
127963	1.14	1.01	1.24
234027	1.7	0.99	2.16
173777	1.53	1.05	1.18
104193	2.42	1	1.77
117149	1.61	0.93	1.3
212763	1.36	0.98	1.92
209418	1.31	1.02	1.37
171037	0.77	0.97	1
222724	1.43	1	1.44
211519	1.19	0.97	1.09
122650	1.86	1.07	1.99
114895	4.25	1.12	1.46
158931	1.21	0.92	1.33
236158	1.62	0.98	1.4
105030	2.15	1.04	1.48
210134	2.51	1.03	1.94
206935	2	1.04	1.63
221164	1.14	0.96	1.03
228350	2.2	1.03	1.72
236942	2.6	1.06	1.64
106464	0.76	0.9	0.99
104594	1.47	0.9	1.63
201611	2.25	0.97	2.44
192035	1.49	0.97	1.05
203792	1.72	0.95	1.51
178334	1.65	0.91	1.16
183858	1.57	1.09	1.47
232347	1.54	1.01	1.02
227738	1.69	1.04	1.4
180938	2.2	1.01	1.44
155466	1.32	0.97	1.32
180300	1.36	0.98	1.1
202549	1.4	0.99	1.1
119905	1.6	1.09	1.36
162160	1.85	1.04	1.23
133488	1.84	1.02	1.9
122028	1.75	0.97	1.33
202943	1.86	1.07	2.71
234900	1.59	1.03	1.26
231786	1.61	0.99	1.43
206577	1.46	0.94	1.43
229802	1.52	1.05	1.84
200925	1.42	1.05	1.51
177872	1.12	1	1.2
209485	1.15	0.94	1.92
182612	1.99	0.96	1.61
175030	2	0.93	1.96
215580	1.38	1.07	3.43
169282	1.11	1.01	1.13
218419	1.44	1.03	1.39
102388	1.18	1.18	2.32
155891	1.67	0.84	2.22
103726	2.05	1.04	1.83
194805	1.43	0.96	1.44
163991	1.34	0.98	0.94
232716	1.3	0.89	1.44
210872	1.91	1.06	1.06
115966	2.11	1.13	1.56
203728	1.18	1.14	1.28
120114	1.77	1.11	1.24
217147	0.6	0.95	0.9
130161	2.11	0.99	1.96
142594	1.27	1.05	1.15
143621	1.35	1.08	1.1
187930	1.6	1.01	2.62
157002	1.39	1.02	1.54
191917	1.4	1.06	1.15
151033	1.18	0.97	0.95
122680	1.48	0.96	1.65
163142	1.63	0.96	1.44
234385	1.91	1.13	1.3
202159	1.5	0.98	1.57
178312	1.74	0.92	1.54
173154	1.7	1.04	1.82
214793	1.53	0.96	1.44
227737	2.58	1.09	1.47
168001	1.85	1.11	1.75
210989	1.7	0.98	1.49
196184	3.47	0.8	1.3
231022	2.08	1.1	1.56
139042	1.97	0.88	1.84
177525	1.19	1.03	1.47
221853	1.94	1.11	1.47
199145	2.72	0.97	1.72
122808	1.6	0.94	1.18
163592	1.73	0.99	1.4
207537	0.99	0.98	1.05
128402	1.92	1.03	1.1
203592	1.51	1.1	1.25
179632	0.99	1.08	1.83
120058	1.59	1.01	1.59
165885	1.21	0.98	1.12
235680	2.23	1.01	2.27
156277	2.9	1.14	2.19
137708	1.67	1.04	1.67
184007	2.19	1.13	1.49
126484	0.93	1.01	1.12
182959	1.74	1.05	2.34
225790	0.86	1.09	1.46
231105	1.76	1	1.68
236335	1.51	0.99	1.33
181457	2.49	1.11	1.93
143238	1.9	1.02	1.2
204591	0.86	0.9	0.83
141978	1.64	0.91	1.33
130747	1.99	1.12	1.32
192450	1.89	0.93	1.74
176679	1.81	1.15	1.94
204107	0.93	0.95	1.38
201837	1.91	1.15	1.18
187020	1.76	0.97	1.35
214684	2	0.91	1.12
141383	0.95	1.01	1.05
201488	1.18	1.03	1.17
216424	0.7	0.9	0.65
205197	1.64	1.02	1.79
141258	1.38	0.93	1.21
200724	1.79	0.97	2.15
103095	1.81	0.98	1.18
162382	2.66	0.98	1.76
207683	1.18	0.97	1.05
188840	1.47	0.93	1.12
156126	1.39	1.01	1.26
116401	1.07	0.97	0.99
149395	1.37	1.12	2.67
120950	0.89	1.15	0.91
178575	2.67	1.05	1.79
122902	1.63	1.07	1.09
162261	1.25	0.96	1.03
167173	1.59	1.05	1.48
163740	1.63	1	1.28
144140	1.72	1.01	1.56
101811	1.9	1.1	1.99
229693	1.12	0.81	1.88
149647	2.84	1.03	1.99
114765	1.27	0.86	1.31
116246	1.23	1	1.23
184432	1.87	1.26	1.88
199830	1.17	0.92	1.16
164088	1.93	0.95	1.09
229888	2.37	1.02	1.98
125629	1.72	0.95	2.14
400283	1.31	1.1	1.16
205454	0.93	0.99	0.98
163523	1.72	0.96	1.42
189524	2.1	1.07	1.63
163416	1.61	1.02	1.05
204159	1.48	1.06	1
216108	0.98	1.05	1.36
120020	1.31	0.92	0.98
109660	2.47	1.06	1.73
207965	1.82	1	1.94
103585	1.47	0.93	2.02
130267	1.69	1.02	1.54
191262	1.98	1.05	2.16
185731	1.61	1.03	2.66
122052	1.41	0.98	1.28
205921	1.55	0.96	1.88
167305	1.44	1.1	1.42
164152	2.05	0.99	1.23
135202	2.04	1.07	1.32
118495	1.37	0.88	1.61
210979	1.63	0.96	1.45
141049	1.38	0.86	1.13
183456	1.31	1.11	1.5
224642	1.76	0.87	1.76
151855	1.14	0.99	1.35
102001	1.46	0.96	1.61
204961	1.43	0.97	1.48
228104	1.56	0.97	2.89
128076	1.9	0.94	1.76
107279	1.77	0.99	1
443501	0.97	0.91	0.78
106389	1.93	1.05	1.47
145027	2.02	0.92	1.9
174499	1.29	1.12	1.27
191104	1.45	1.03	1.67
170188	2.73	1.08	1.58
128021	1.67	0.94	1.32
177382	1.18	0.82	1.85
157355	1.3	0.9	1.32
157646	0.98	0.94	0.91
134269	1.68	0.91	0.95
162490	1.65	0.94	1.54
161743	1.51	0.98	1.27
105864	1.75	0.95	2.09
209946	0.95	0.79	0.99
106167	1.19	1	1.16
184699	1.22	0.96	1.12
234827	1	0.85	1.49
111202	1.74	0.99	1.3
138608	1.47	1.03	1.49
192008	1.33	1.04	1.47
124164	1.39	1.01	1.34
105271	1.08	0.94	0.97
135387	1.46	1.01	0.97
235895	2.91	1.1	1.25
224334	1.11	1.01	1.21
109173	1.02	0.95	1.32
204455	1.32	0.97	1.43
177717	1.03	1.05	1.45
179425	2.23	0.92	1.22
201885	1.62	1.09	1.48
160921	2.04	0.9	0.91
101120	1.76	1	1.33
207727	2.43	1.14	2.49
152264	2.2	1.05	2.29
187598	2.95	1.24	2.18
135492	1.34	1.04	1.05
154912	1.73	1.04	2.11
132203	1.45	1.22	0.97
229731	1.71	0.93	2.21
101145	1.42	0.94	1.35
150309	1.83	0.91	1.36
129671	1.98	1.03	1.38
539197	1.33	0.89	1.33
104562	1.41	0.97	1.2
191627	1.18	0.92	1.87
613296	0.33	0.94	0.56
179728	1.6	0.96	1.83
233151	2.24	1.06	1.97
100710	1.27	1.01	1.8
202350	1.77	1.05	2.16
226673	1.05	0.95	0.92
170472	1.24	0.98	0.85
135572	1.53	1	1.45
172997	1.64	1.02	1.57
157245	1.76	1.05	1.42
147869	1.57	0.97	1.01
226576	2.45	1.02	2.1
224154	1.85	1.01	1.79
133140	1.7	1.05	1.56
200839	1.35	0.99	1.43
180728	1.3	0.94	1.52
121126	1.9	0.96	0.78
188616	1.64	1.01	1.38
235986	1.28	0.87	1.09
123438	2	1.16	1.37
212943	0.81	0.99	0.94
202138	1.67	0.89	1.73
216252	1.11	0.82	1.46
110829	2.74	1.18	2.25
707077	2.03	1.03	2.5
172638	1.62	1.04	1.37
119513	2.3	1.2	1.37
183186	1.39	0.93	1.07
210766	1.34	0.97	1.62
134055	1.43	1.04	1.15
210281	2.45	1.18	1.57
186558	0.82	0.83	1.51
200308	2.28	1.02	1.5
171026	1.51	1.01	0.94
114157	1.82	1.11	1.59
152483	1.64	1.1	1.32
179965	0.74	0.88	1.16
129837	2.08	1.02	1.42
225657	0.83	0.85	0.91
699542	1.46	0.9	1.55
210604	2.09	1.02	1.73
176430	1.1	1.02	1.21
159303	1.58	0.98	1.5
168470	1.1	0.98	0.9
164828	1.65	0.97	1.23
143239	1.59	1.03	6.22
209566	2.74	1.05	1.16
145429	0.96	0.98	0.94
221661	1.67	1.23	1.98
188082	1.57	1.01	1.2
134175	1.86	0.9	1.08
191273	1.77	1.01	1.75
173352	0.75	0.91	0.96
203712	0.88	0.9	1.1
198428	1.17	1	1.38
127569	1.65	1	1.22
215560	1.86	0.88	1.63
111955	1.55	0.99	2.08
171160	1.05	0.91	1.5
105539	0.88	1.02	1.14
109238	2.04	0.96	2.27
191794	2.95	1.11	1.67
181180	2.24	0.94	2.34
177393	1.43	0.99	1.63
125728	1.63	0.97	1.23
236343	1.37	1.02	1.21
227711	2.6	1.11	2.58
166876	1.2	0.91	1.36
114957	2.04	1.04	1.72
206656	1.22	1.06	0.99
172064	2.23	0.99	1.74
147811	1.49	1	1.95
219563	0.89	0.96	0.87
194041	1.57	1	1.47
235618	2.45	0.93	1.92
208636	1.92	1.03	1.2
150607	1.37	1.04	1.25
123127	1.2	1.02	1.48
160600	1.41	0.99	1.08
204367	1.62	1.02	1.44
197886	1.57	0.94	1.3
184288	2.53	1.18	1.92
170184	1.57	0.99	1.58
205999	0.75	1	1.21
214795	1.86	1.04	1.75
381027	1.09	0.82	0.85
170500	2.14	1.12	2.51
202313	0.6	0.96	0.82
128153	1.12	0.95	1.07
224040	1.28	0.92	1.07
185358	1.45	1.08	1.62
179836	3.67	1.31	11.86
189484	0.97	1.04	1.31
169477	1.36	0.98	0.92
197852	1.81	0.93	1.29
166599	2.17	0.92	1.38
128176	1.69	1.05	1.36
192381	1.68	0.92	1.51
166755	1.59	0.87	1.31
152410	1.24	0.92	1.02
232104	1.37	0.91	2.34
211819	1.55	1.04	1.47
316624	1.54	0.87	1.35
145581	2.48	1.07	1.82
203232	1.41	1.02	1.38
235698	2.02	1.05	1.49
117630	1.3	0.97	1.43
102233	1.72	0.98	1.69
176658	1.48	1.06	1.64
116538	1.71	1	1.39
121690	1.84	0.94	1.65
108716	1.57	0.84	1.69
154610	1.61	1.01	1.39
211000	1.19	1.02	1.29
199169	1.26	0.98	1.03
153745	1.42	0.96	1.79
223350	2.61	1	1.93
131193	1.24	0.97	0.92
116953	1.44	0.99	1.52
236877	1.82	1.05	1.41
122400	1.27	0.86	1.04
141237	0.93	0.87	1.34
10712347	1.07	1.17	0.69
215875	1.2	1.09	1.43
160860	1.95	1.05	1.58
236495	1.5	1.04	1.14
146105	1.49	0.96	1.77
163884	1.42	1.03	1.21
163076	0.78	0.87	1.12
112880	1.6	0.95	1.55
129423	1.62	0.92	1.43
124044	2.27	1.04	1.84
143874	0.46	0.97	0.93
187518	1.88	0.97	1.56
183498	1.69	0.97	1.2
127913	1.4	0.96	1.38
205100	0.84	1.05	0.98
136918	1.63	0.94	1.57
169525	2.31	1.08	1.85
190520	1.42	0.85	1.11
107104	1.37	0.98	1.25
156162	1.76	1.22	2.81
162494	1.34	0.99	1.07
170223	1.81	1	1.54
166406	2.03	1.06	1.87
119533	0.99	1.01	1.45
119695	1.65	1.01	1.29
201805	1.3	0.95	1.74
174725	1.99	0.95	1.74
210760	2.09	0.91	2.41
156134	1.15	0.95	1.66
208728	1.75	0.98	2.12
181072	1.54	1.07	1.66
135209	1.28	0.97	1.1
174597	1.34	1.04	1.63
123900	0.89	0.97	1.1
177879	2.52	0.93	1.83
210840	1.89	0.89	1.45
135372	1.33	1.03	1.09
201179	1.56	1.04	1.27
219216	1.71	0.93	1.19
