Identifier 	 AJ_8w_1	 AJ_8w_2	 AJ_8w_3	 C57_8w_1	 C57_8w_2	 C57_8w_3	
ENSMUSG00000048497	37.486053	41.90263	36.75395	78.79118	231.78474	44.683422	
ENSMUSG00000051455	46.063156	25.004211	45.11395	33.64974	65.04131	42.58763	
ENSMUSG00000069792	3749.369	5575.6396	4070.778	4431.3516	2966.9133	3487.5093	
ENSMUSG00000030094	47.413948	54.072895	24.119474	24.309736	138.60841	31.863684	
ENSMUSG00000001225	62.738422	63.62842	89.67316	71.87211	57.673027	22.298685	
ENSMUSG00000024581	449.04025	453.16946	516.64026	471.88867	236.99289	262.98395	
ENSMUSG00000027199	482.55606	364.4634	565.8453	305.5992	309.98895	228.62474	
ENSMUSG00000024510	82.41553	106.8679	66.30355	113.820526	65.247635	128.3071	
ENSMUSG00000028251	353.3384	559.45264	312.61896	262.98395	246.37724	383.17554	
ENSMUSG00000026686	61.228947	47.929474	30.567104	22.844473	58.405922	29.960789	
ENSMUSG00000022351	5008.9287	6082.5664	4044.2527	3788.1768	3880.6362	3808.8164	
ENSMUSG00000020048	5681.289	3644.2725	6113.2065	5552.9727	4990.432	5352.9575	
ENSMUSG00000012889	447.38184	641.8413	648.1055	618.8897	705.45447	445.50632	
ENSMUSG00000058669	43.187107	35.054474	36.61158	35.055656	52.623817	46.52842	
ENSMUSG00000049823	121.081314	73.628685	86.391846	43.726578	94.61842	114.41842	
ENSMUSG00000071564	175.00316	97.13947	163.67552	74.39132	73.02237	70.19829	
ENSMUSG00000028383	1192.5432	1443.1678	961.41394	953.8287	722.06976	873.96765	
ENSMUSG00000058728	36.287895	28.872236	25.958685	96.357895	73.38421	31.982895	
ENSMUSG00000039187	24.183027	45.594475	39.31421	79.08079	100.13724	61.258686	
ENSMUSG00000028648	31.775	50.62934	67.42368	33.69263	35.27434	19.059736	
ENSMUSG00000082011	58.10105	54.99171	100.05816	42.13605	62.549473	206.97342	
ENSMUSG00000042042	255.785	378.37027	305.5992	68.94211	265.88632	337.48184	
ENSMUSG00000037686	3007.8145	2922.7493	1994.0897	1702.1805	2294.793	4343.576	
ENSMUSG00000046985	69.16263	63.241447	44.178158	112.41684	44.27	29.562368	
ENSMUSG00000030871	947.0787	1316.0995	948.53107	717.54816	827.4368	989.93555	
ENSMUSG00000020566	64.393555	41.66421	41.192894	32.9775	60.337368	32.91092	
ENSMUSG00000026235	27.781315	23.709738	34.668423	86.64158	81.838425	38.56237	
ENSMUSG00000081133	1497.2994	1911.6947	1738.1163	1566.7913	2215.0662	1714.2994	
ENSMUSG00000030498	1413.1086	1791.1648	1070.86	2164.056	2154.0295	1839.2676	
ENSMUSG00000048378	39.47013	44.055264	42.438946	102.90316	18.339474	102.12026	
ENSMUSG00000002102	1922.1376	2381.079	2131.9255	2042.4048	1862.2482	1903.5216	
ENSMUSG00000037772	59.806053	31.3175	34.716843	44.86671	28.887896	114.63105	
ENSMUSG00000037536	37.40579	58.57579	32.409473	160.775	31.18158	35.351315	
ENSMUSG00000051844	48.35645	38.607895	32.027103	51.752106	77.17539	34.31829	
ENSMUSG00000028789	51.17842	49.92684	45.69855	33.44263	147.52815	30.350264	
ENSMUSG00000054374	38.13158	43.515263	70.037766	23.024342	32.642895	118.71145	
ENSMUSG00000075089	632.6508	823.1171	530.69763	774.6605	643.884	535.0187	
ENSMUSG00000025432	102.51605	132.62395	67.90447	66.81737	90.15184	59.091446	
ENSMUSG00000030272	882.4242	1218.2789	923.03265	1288.5834	1384.8121	1137.1289	
ENSMUSG00000035057	40.300262	38.078026	71.27579	145.80974	116.8679	55.79237	
ENSMUSG00000025742	94.70526	89.84631	51.771446	40.428814	128.20526	128.79395	
ENSMUSG00000049600	98.799866	104.883156	163.00421	49.580788	31.838158	170.1992	
ENSMUSG00000020776	57.239475	32.91092	34.11079	47.661972	25.600132	41.122368	
ENSMUSG00000037104	87.09342	62.988422	47.182896	28.42908	59.447895	51.791843	
ENSMUSG00000025199	1606.1505	1901.3558	1168.7979	1178.0726	1285.9677	1510.5216	
ENSMUSG00000022403	1576.4176	2182.6077	2020.8303	1420.6442	1370.969	1658.5986	
ENSMUSG00000073437	900.6358	798.7384	717.0476	191.73763	193.22948	249.58974	
ENSMUSG00000031954	23.939737	44.79237	44.461315	53.604607	34.576183	69.59	
ENSMUSG00000023963	569.7739	486.08765	472.9121	638.88446	655.3684	495.71448	
ENSMUSG00000040808	347.70395	562.31696	579.60657	369.70422	459.8763	286.46185	
